sweep_value,run,error_1,error_2
3,20,0.6347791802070073,0.18024609343639184
3,21,0.682351534296788,0.1831713171141866
3,22,0.7244092537125105,0.07578485976055062
3,23,0.5742164884923531,0.1610949749780592
3,24,0.6669831620317688,0.15569000279446207
3,25,0.5629226136764195,0.21471586475819693
3,26,0.7948315670341067,0.1586872808297885
3,27,0.6437819466654344,0.17439441369371517
3,28,0.6514077417661224,0.13062267362019098
3,29,0.6672492216020476,0.15470408456307974
3,30,0.9267117782276485,0.10750340401510372
4,1,0.6795349477627957,0.15277654353973463
4,2,0.7155255682237688,0.17049719000045746
4,3,0.6718460603351647,0.11314874940365462
4,4,0.5302431661349831,0.17773411683740883
4,5,0.5089341097594079,0.17258798788186513
4,6,0.5601790531781363,0.1360239880309346
4,7,0.6311406340217312,0.1291604059168884
4,8,0.5488554295736431,0.19624133553091594
4,9,0.6195790408645986,0.22378915633640797
4,10,0.7943757403103527,0.21686463610386064
4,11,0.7327789060682897,0.13606454862803763
4,12,0.6600678396733831,0.14128687040153232
4,13,0.49629783079639705,0.1307490135197866
4,14,0.8243508255848486,0.06790159724957298
4,15,0.5569450327733286,0.1888393816115487
4,16,0.592326882139119,0.21056566368005755
4,17,0.5845023539857822,0.1535567365611736
4,18,0.6176966355420781,0.14327022352711194
4,19,0.670402405505375,0.12397217612074347
4,20,0.716850563805277,0.17547213151935953
4,21,0.6434618914454998,0.15233923673538094
4,22,0.49229618990650303,0.1804223701191261
4,23,0.5608622205374605,0.18919634955271705
4,24,0.5457515194270814,0.18117584156465566
4,25,0.6098406461389754,0.16857864304125128
4,26,0.5781034536874933,0.12462096164723534
4,27,0.6583026195234701,0.12527930707132082
4,28,0.5917268435847827,0.12965960417875472
4,29,0.6048622035736175,0.110385399221566
4,30,0.6227105957083968,0.21103953405416964
5,1,0.5796790588895352,0.08392959205476605
5,2,0.5265620708839309,0.20663326851187308
5,3,0.44528788938656505,0.1278415290452224
5,4,0.5653900602069237,0.24807924818671404
5,5,0.5376768769719408,0.14439906359619753
5,6,0.48650037228528126,0.20528059419694816
5,7,0.46776035309761926,0.2157046514820233
5,8,0.7059829397495317,0.1667207586712013
5,9,0.5272288095994475,0.12026461240892695
5,10,0.6390325547902205,0.15290770416530602
5,11,0.6061078626006126,0.18348773088756973
5,12,0.54522138999665,0.14823958579670704
5,13,0.5273038926067231,0.16175134869047805
5,14,0.508298903882146,0.16216018730135973
5,15,0.5518262794217069,0.1290809524318132
5,16,0.5160701244456756,0.0889602714275719
5,17,0.6174349773626165,0.11361573746538217
5,18,0.5016022507311547,0.1884394075468157
5,19,0.5514793221527534,0.23544198509461842
5,20,0.5791762490498102,0.14547030883604992
5,21,0.5251796206661777,0.16517380511002414
5,22,0.49240865725485106,0.14228498828279967
5,23,0.56560336444558,0.1151516923961862
5,24,0.5643903920285399,0.17454316961036975
5,25,0.46531181524943666,0.17204626760985114
5,26,0.5362070975150678,0.13975135937168642
5,27,0.576794852514784,0.13564853297287882
5,28,0.4947126163757188,0.21410778212143336
5,29,0.48473162911159456,0.13204300093940757
5,30,0.6082599972742159,0.12351087020670419
6,1,0.4722481439104054,0.15795602866227287
6,2,0.5073262965709158,0.15905005787110324
6,3,0.6594500174753355,0.1536336869508371
6,4,0.4762735750731254,0.15619239092642073
6,5,0.4855341463863383,0.15134678908229482
6,6,0.49064772463388295,0.10090984725567
