sweep_value,run,error_1,error_2
13219,3,0.37900524713855843,0.11383719870444084
13219,4,0.4080412026018588,0.11878910923505763
13219,5,0.5414203648984364,0.09056129624117229
13219,6,0.40872253282775,0.08936772735119854
13219,7,0.4181769495647307,0.10151087196773753
13219,8,0.3757577194176611,0.15245870016936308
13219,9,0.36117434017621497,0.1146466769136997
13219,10,0.37521455626287037,0.10463577239292443
13219,11,0.424897438381065,0.14013031417214472
13219,12,0.4577925055420182,0.10773847654705994
13219,13,0.39719972492155453,0.09046195971032381
13219,14,0.4924416278989236,0.11847121782594343
13219,15,0.5103386413266638,0.09425218817676664
13219,16,0.5464302263063273,0.10972567325995036
13219,17,0.49421855453812963,0.10203540871767008
13219,18,0.31467026418337785,0.1080993747783468
13219,19,0.4248904474026201,0.1081012989514766
13219,20,0.4319119465798185,0.1233889562688845
13219,21,0.5093570634085308,0.09247603254655605
13219,22,0.46422953748213147,0.12020058519956248
13219,23,0.3969125621258393,0.10222425817604447
13219,24,0.40589477952327746,0.11602972263012495
13219,25,0.4430375525050211,0.1561645757618903
13219,26,0.48417621158648244,0.10563026673470499
13219,27,0.5060797639395535,0.10910819079597688
13219,28,0.3976008597074533,0.15154949441812698
13219,29,0.35450482005399636,0.11525791161951073
13219,30,0.5871501896750323,0.12723005981044988
13848,1,0.369039681660885,0.15218124404588299
13848,2,0.4104490138441413,0.14842687359388948
13848,3,0.4749088250012894,0.09817474776621242
13848,4,0.3863964063110762,0.09168798360926764
13848,5,0.37331686506298317,0.1101434897382995
13848,6,0.6171122464516225,0.12451817136382608
13848,7,0.4903586898280795,0.09276291944811844
13848,8,0.6269039201044502,0.09952532864651167
13848,9,0.33138588115999795,0.12073341368733799
13848,10,0.3648189200813386,0.11653739532079516
13848,11,0.4254290576950023,0.1254450509413892
13848,12,0.6463990867568578,0.11595560038520701
13848,13,0.43128665325671145,0.11157081458161047
13848,14,0.3887051783797572,0.12932978164099262
13848,15,0.4130575268991241,0.124599635678833
13848,16,0.45884352004491885,0.09159488485386277
13848,17,0.3353544671055,0.11738455891425562
13848,18,0.4357469514704279,0.09889870458042961
13848,19,0.6391440778023426,0.09642992550017074
13848,20,0.36373266925800557,0.12338996706235286
13848,21,0.35323668662021707,0.10595486634169837
13848,22,0.3113511049235499,0.10948991483639342
13848,23,0.40010593951037876,0.09156780776723211
13848,24,0.4597000367822234,0.1217783890025003
13848,25,0.4114391359446681,0.10799340774807474
13848,26,0.4466643302760631,0.16182924675040025
13848,27,0.4028213489458267,0.13393928859682708
13848,28,0.5765338642741479,0.11517196683660838
13848,29,0.3230939799746016,0.12786964181350222
13848,30,0.5251982630223115,0.13834070588786027
14508,1,0.5079928930959569,0.10329099258085099
14508,2,0.4435608478053376,0.1289358121011379
14508,3,0.49348366616029526,0.12737216875134302
14508,4,0.3603315889824536,0.12665940151796448
14508,5,0.4258206529533402,0.10091010832343274
14508,6,0.5502822551668641,0.1232744159822198
14508,7,0.410986558948205,0.11578790063542925
14508,8,0.42850385059384677,0.10091379970664296
14508,9,0.38912182586339195,0.11158796756294502
14508,10,0.37633382501283696,0.16502895806786427
14508,11,0.4131266631679771,0.12604070114963872
14508,12,0.5196179407106931,0.11019810490893818
14508,13,0.40849569466642965,0.08415615485503251
14508,14,0.4448669735740746,0.09330206094086607
14508,15,0.4335347534588194,0.10659511822461025
14508,16,0.4176390208976865,0.10654172853982313
14508,17,0.48351481249629763,0.11852829551985643
14508,18,0.36067880364219196,0.11234392621832766
14508,19,0.34256936944676436,0.12138845492059179
14508,20,0.38653254506815765,0.16364673612499275
14508,21,0.3818833697852592,0.1022884463144359
14508,22,0.4318489550643953,0.1204142234619388
14508,23,0.4025002877591535,0.09153914168849898
14508,24,0.46582631866840435,0.1316792317774872
14508,25,0.40273350642361067,0.11810265613642587
14508,26,0.40816086151668174,0.09737170450585743
14508,27,0.5598445424208672,0.09235481818029141
14508,28,0.48604915474207583,0.12395775055364558
14508,29,0.41515320504980735,0.12826118119710733
14508,30,0.3892081975058464,0.12714692916614734
15199,1,0.30878856066165206,0.12636142762040192
15199,2,0.40722239402451726,0.08701643630091695
15199,3,0.514021450730674,0.10388598420480978
15199,4,0.38404887165910084,0.08834979321394437
15199,5,0.5057518782583896,0.12087564539715168
15199,6,0.42124832427620423,0.0948933561325084
15199,7,0.45232275053646576,0.10842077659206564
15199,8,0.35964274903908156,0.10260617793372105
15199,9,0.5328290823760645,0.11773674216702093
15199,10,0.36018958660121453,0.09346458898096091
15199,11,0.4750188282623213,0.1227472614288083
15199,12,0.38120033150120447,0.12650789266182064
15199,13,0.6174727414418154,0.11956168772969349
