sweep_value,run,error_1,error_2,error_3,error_4
12,11,0.03900923594976541,0.05068680744004621,0.09643911973283176,0.183441551127517
12,12,0.04023853510262636,0.04660614102424767,0.07627826748179904,0.135199674490663
12,13,0.04158371492509948,0.05747500330993312,0.1103870902687801,0.20678987593454506
12,14,0.036227954576111346,0.04039821338092604,0.07055326745894944,0.13443129896439787
12,15,0.03896303928998266,0.04768023115187263,0.08449859649675018,0.15420155591823678
12,16,0.04168284093188654,0.05478004580802386,0.10537063861351027,0.19590973719766366
12,17,0.04465498793777161,0.05763612390563997,0.10156315831893933,0.18227483162421462
12,18,0.03679848277249301,0.04715480105492368,0.09764353626069285,0.18930755034980418
12,19,0.041485138122881966,0.05799724127925758,0.11730308840384547,0.2220936476326072
12,20,0.03948849308264103,0.04580143660506977,0.08046787361968682,0.148859878305856
12,21,0.04132455375475754,0.04975371490195679,0.0864126275052955,0.1568683648227481
12,22,0.040087155648947506,0.05001237391495533,0.09219819095248478,0.1721298898879837
12,23,0.04113796428858014,0.05711111690579664,0.11933435124850594,0.2300525622155311
12,24,0.03816858582974159,0.047537789086269516,0.090995743022171,0.1713422601188901
12,25,0.04408509897557292,0.055976442182031565,0.09539116909718763,0.16706084531345003
12,26,0.039896727078042114,0.059606277909803336,0.12794093697690118,0.24682551333745037
12,27,0.03930378348805657,0.05837902342651147,0.1324141775601133,0.2618121567928075
12,28,0.03803393107139175,0.04533219876425681,0.08004467484528625,0.15074483838771607
12,29,0.042519627990660724,0.05023965782076616,0.0887980394448006,0.16751046135301273
12,30,0.04064332518562273,0.05283459193901958,0.10219593721165118,0.1925261292483014
13,1,0.03853984087158839,0.044699758781092384,0.0869381067557631,0.16969487405351658
13,2,0.03927864357177943,0.0461626607134465,0.07735598140581686,0.13817338693897932
13,3,0.043034176575179314,0.05155134770851348,0.0935234838143787,0.1738486391123656
13,4,0.03753467577568736,0.04390402158654491,0.07898824341501319,0.14582578593999318
13,5,0.037723069072096674,0.04388927441094088,0.07905738545590005,0.1483490866906163
13,6,0.03804585192257133,0.04016051989902506,0.07297411880226298,0.14367745871802623
13,7,0.03787382756213438,0.04358902743654407,0.0838499143733848,0.16541593078239852
13,8,0.03927894610178152,0.04384710981463822,0.06451055024271372,0.11226376037791444
13,9,0.03776099566578705,0.04253008648062534,0.07039030292489085,0.12766765285218845
13,10,0.03908534663128195,0.04511899017827027,0.0795208971134379,0.14771347356713282
13,11,0.041692479561382986,0.05277232645664374,0.11111168766160018,0.21806126472726559
13,12,0.03867707665295182,0.04688734426146209,0.08270110502423321,0.15151036210958796
13,13,0.038138185363628264,0.04811861666887633,0.08548713489322038,0.15532290492076745
13,14,0.04083009267626589,0.051551288504558,0.10378076568031587,0.20073187724276473
13,15,0.04017756628824373,0.049452943117184005,0.0983687750204632,0.1884447733696456
13,16,0.04316211073820224,0.0507786448319169,0.08564598826367563,0.1514742112472112
13,17,0.036974446214781895,0.04609064915162405,0.08717035056796033,0.1670674238101356
13,18,0.03808429599340479,0.053070711044157795,0.10743951059730128,0.2061315817665162
13,19,0.03963624758072021,0.047153405799770565,0.08581314918238928,0.157964222522585
13,20,0.04333913372697782,0.06702136662372342,0.1463436478468228,0.281745087717049
13,21,0.038830928004699596,0.04697241272876992,0.0832894202536962,0.15403412964702914
13,22,0.0365849243256367,0.04145261817473152,0.07951890616761675,0.15687434980830062
13,23,0.04102134121045009,0.04725837009988799,0.086317617499584,0.1659466001839514
13,24,0.04126480517705729,0.04874599518871845,0.08794313367560871,0.1675849483257922
13,25,0.03849737051609591,0.0473713394029094,0.09090239361557009,0.1736398937284793
13,26,0.04081469538440456,0.04346294550310135,0.07653351927529689,0.14605287544749393
13,27,0.04104508712572162,0.05871370928453897,0.1218317554049392,0.23141588011861405
13,28,0.04115694210375778,0.04814958308068971,0.07760555330198712,0.13838785527761369
13,29,0.03709229540499371,0.04325427379659248,0.0736098239280264,0.13273160718930838
13,30,0.040011457372781487,0.0513664937077784,0.1031410855874941,0.19767847609717043
14,1,0.04267770308584339,0.046037452010352496,0.07237850650086858,0.12757953682433681
14,2,0.043566541069094016,0.05074841115297022,0.08250397497285378,0.14588930510824524
14,3,0.03678517582093807,0.05088665782775738,0.11325692798547835,0.22358962005731142
14,4,0.04140563814249237,0.048429300666013926,0.09437503328333696,0.18705078741818923
14,5,0.038779966512463716,0.04390177462823921,0.08070252952189835,0.1549003863874538
