sweep_value,run,error_1,error_2,error_3
11497,7,0.10768323625900483,0.24213409984423845,0.48341994312087583
11497,8,0.11259303674673074,0.19975561810701348,0.3401227141045126
11497,9,0.1354803353113945,0.23849092400279176,0.42117873512886894
11497,10,0.15151115889299807,0.20990982121620053,0.36426285389178076
11497,11,0.19886070998882843,0.2590070459657648,0.419550588465147
11497,12,0.1077406066129448,0.1551764644497697,0.2942298869469344
11497,13,0.06411707562011637,0.14882201672494658,0.3115757734798593
11497,14,0.16358370691910437,0.2181049977018298,0.3668773293185459
11497,15,0.13507642317412763,0.26060652062576056,0.4835020763512718
11497,16,0.10309621131660086,0.14840121712952375,0.3186060993147056
11497,17,0.12022701520953477,0.22080392779262034,0.38776034993524655
11497,18,0.1098017199568695,0.215777669174821,0.4128822183886545
11497,19,0.11763434527654236,0.2148320341266484,0.36615323061278143
11497,20,0.09675411275981532,0.18799495797757182,0.3672844529893113
11497,21,0.13868830507245408,0.21283899135857848,0.36788466970641787
11497,22,0.11724469308720119,0.19988368437325718,0.32830805269175944
11497,23,0.11568875471722853,0.2365276064964777,0.471941738698549
11497,24,0.11327071127830744,0.22202437229075064,0.4580726167957105
11497,25,0.07498318478636352,0.21034103625675388,0.44819336191323966
11497,26,0.10902996366576605,0.2849731706883984,0.5530046803083813
11497,27,0.13138444484407868,0.23169515605059482,0.3700211357722051
11497,28,0.14904040273597977,0.17265628319492976,0.3437592157854902
11497,29,0.09917129430737313,0.2117287379813595,0.5340321158592356
11497,30,0.17857895723257416,0.2253525848779979,0.3192281727008131
12045,1,0.09389556172044372,0.21705448961196133,0.48003188830576293
12045,2,0.13915644193310373,0.30614258309417897,0.5330841458503023
12045,3,0.13478970415220304,0.21799019988066246,0.3378452985868317
12045,4,0.13412545191356723,0.2241349820020177,0.38403181907143574
12045,5,0.13657866327080692,0.3355759316547492,0.5800781105071311
12045,6,0.1272007325738792,0.17235251911339777,0.3309377708603688
12045,7,0.13304948769708078,0.1819070177473845,0.34887805879245787
12045,8,0.11662464649295011,0.2222240496314844,0.422080242246861
12045,9,0.0884917773156385,0.17312743567368274,0.3504217532300594
12045,10,0.1745966465095334,0.1994092300761097,0.35399196729761817
12045,11,0.13296434191443532,0.27218409190014986,0.5648437361500159
12045,12,0.09848594194646937,0.1986889325185343,0.3452448414513562
12045,13,0.10390840423658071,0.20352489642448154,0.3964049064594852
12045,14,0.09479611895041128,0.20737127639367423,0.3815040457827365
12045,15,0.10916862639118913,0.26639117150074476,0.5160208466151008
12045,16,0.06771683868560834,0.1986631084331228,0.4220699364151437
12045,17,0.09957937229145385,0.19611604183429876,0.3799074652429897
12045,18,0.1020237589952583,0.24305978589345476,0.48780061643501094
12045,19,0.09254679151900845,0.21876146275417901,0.42520280752288586
12045,20,0.14634227661208352,0.23772975746379493,0.4301110038717024
12045,21,0.16571573699775724,0.31480029561611683,0.5145534941451052
12045,22,0.07064788582923479,0.19771582417821687,0.4545346621894027
12045,23,0.14197623200173345,0.29730394837899415,0.5437790805238616
12045,24,0.11334805241272107,0.16062777194659283,0.31688250649312677
12045,25,0.10796053241839683,0.198997823821893,0.47978224848725065
12045,26,0.1163948767511656,0.1922346217163956,0.36690129324524895
12045,27,0.13048192931406782,0.27060517877873813,0.46747591316773035
12045,28,0.08236018307907496,0.2259229859322109,0.4522036927771534
12045,29,0.11565168581496882,0.3082286767819012,0.5711687179834153
12045,30,0.058104722849446865,0.21201965645113927,0.431546802430583
12618,1,0.1233187100472006,0.19205368315127583,0.36896827262163157
12618,2,0.08995955437861959,0.2384334733372982,0.4459183950435336
12618,3,0.13009848413267044,0.24381298526949097,0.48895472391398537
12618,4,0.12014331633472036,0.26609362912591833,0.456001916129239
12618,5,0.1422965087271222,0.21601084626532122,0.4047526370793191
12618,6,0.09248394621917062,0.21004226517082153,0.42043771085873494
12618,7,0.10793889516776752,0.3263435542254823,0.6234065415038598
12618,8,0.14364057198624688,0.22614359011753238,0.40497055795386455
12618,9,0.1406421562927642,0.2158356558134696,0.37073346829906834
12618,10,0.16078302115052884,0.3450035610913593,0.6136346316007311
12618,11,0.12688595115337137,0.25008815700505405,0.45385698925734697
12618,12,0.09550592928279783,0.2178985426696706,0.3859803393639939
12618,13,0.13618205804474165,0.3036444631025385,0.5034888026030176
12618,14,0.13292704748021225,0.24933485884755532,0.4352214856492873
12618,15,0.10592439471774746,0.21928695004220877,0.3731402891449146
12618,16,0.07614418829877258,0.1857587795297809,0.369015868222497
12618,17,0.09592996289293951,0.2844826707296226,0.5989475001003198
12618,18,0.13338069357040452,0.28111166409371585,0.5320627789187452
12618,19,0.11276927872487723,0.17730277405639883,0.3504799257827893
12618,20,0.1232711419827972,0.2646768766772343,0.47952340913824426
12618,21,0.11418990011001413,0.21320759587502403,0.43842161744035496
12618,22,0.1384034963335538,0.24677642004979825,0.44041875694798804
12618,23,0.11780938032388297,0.2008823311888505,0.3595735605740597
12618,24,0.09384641568088364,0.25462899834371766,0.5367166965898561
12618,25,0.1390180234279172,0.3788914523888113,0.7160235986219978
12618,26,0.13397109274932145,0.18371022283363045,0.36962343567542855
12618,27,0.11113819282379601,0.20417192012847385,0.4043716788545359
12618,28,0.09849486899419631,0.15481325810985927,0.3255999402739315
12618,29,0.1162735240115171,0.22264790349319258,0.4036872952951346
12618,30,0.05559114400985598,0.1567577718987448,0.33432368847920757
13219,1,0.15526479740569546,0.22149205224790192,0.3656876328412354
13219,2,0.09153434579696956,0.20929492694241206,0.3985817576132376
13219,3,0.10433287412210111,0.21159920005218424,0.36642107799291596
13219,4,0.1009721771531476,0.1777446355352089,0.39066935975450123
13219,5,0.08468118104954887,0.2697869794920548,0.5213976548842484
13219,6,0.09468112888164118,0.19492632612215685,0.3926168195413316
